numero;codigo_produto;quantidade;preco
95344;783663;9;2
95344;1078680;9;1
95344;243083;5;4
95344;1002767;5;34
95344;1041119;6;20
95344;544931;8;5
95344;1013793;8;5
95344;1040107;8;4
95344;229900;8;10
95345;746596;7;3
95345;1040107;8;4
95345;1088126;7;9
95345;235653;8;7
95345;1041119;8;20
95345;1013793;7;5
95345;812829;6;4
95345;723457;8;2
95346;1096818;6;2
95346;1002334;6;3
95346;1042712;7;3
95346;520380;7;3
95346;1051518;8;7
95346;290478;8;3
95346;326779;7;9
95346;243083;7;4
95346;1022450;6;3
95346;231776;5;6
95346;812829;5;4
95346;1086543;7;20
95347;1088126;5;9
95347;1004327;8;2
95347;1101035;8;35
95347;479745;6;2
95347;826490;9;4
95347;326779;6;10
95347;695594;7;15
95347;1013793;6;5
95347;1041119;9;20
95347;812829;5;5
95348;1086543;7;20
95348;290478;8;3
95348;1013793;5;5
95348;1004327;7;3
95348;231776;6;6
95348;788975;9;3
95348;1051518;8;8
95348;746596;7;4
95348;1078680;6;1
95348;1002767;9;35
95349;723457;7;2
95349;1078680;8;1
95349;290478;6;3
95349;1051518;9;8
95349;1096818;6;2
95349;695594;8;15
95349;326779;8;10
95349;1042712;8;3
95349;1004327;6;3
95349;746596;6;3
95349;1040107;6;4
95349;1041119;9;20
95350;1022450;7;3
95350;235653;9;7
95350;229900;5;9
95350;1040107;9;4
95350;1078680;7;1
95350;826490;7;4
95350;1086543;5;20
95350;695594;6;15
95350;1002767;8;34
95350;1013793;7;5
95350;1042712;8;3
95350;231776;5;5
95350;1002334;7;4
95350;1037797;8;5
95351;326779;8;10
95351;1037797;8;6
95351;1086543;6;19
95351;394479;6;2
95351;1042712;7;3
95351;723457;7;3
95351;520380;8;3
95351;243083;9;4
95351;1088126;5;9
95352;1040107;7;4
95352;1022450;8;3
95352;235653;8;7
95352;1096818;6;2
95352;1041119;6;20
95352;1101035;7;34
95352;394479;9;2
95352;1004327;6;2
95352;695594;7;14
95352;326779;5;10
95353;243083;6;5
95353;1013793;6;6
95353;1078680;7;1
95353;544931;6;5
95353;723457;8;3
95353;290478;7;2
95353;1037797;6;6
95353;783663;7;2
95353;1040107;9;4
95353;1002767;6;35
95353;1042712;6;3
95353;1051518;7;8
95353;231776;7;6
95353;235653;6;7
95354;746596;5;4
95354;229900;7;10
95354;235653;6;7
95354;1013793;6;5
95354;773912;8;5
95354;695594;9;15
95354;1037797;8;6
95354;1042712;7;3
95354;290478;6;3
95354;231776;7;5
95354;838819;6;7
95355;1022450;5;3
95355;773912;8;5
95355;290478;8;2
95355;544931;7;5
95355;1004327;7;3
95355;479745;7;2
95355;1078680;7;1
95355;812829;6;5
95356;1101035;7;34
95356;1040107;5;4
95356;1078680;8;1
95356;231776;7;6
95356;695594;6;15
95356;1086543;7;19
95356;1004327;8;3
95356;1037797;6;5
95356;1088126;5;9
95357;746596;7;4
95357;520380;6;3
95357;243083;7;5
95357;788975;8;3
95357;1022450;6;3
95357;1101035;6;35
95357;1004327;7;2
95357;826490;6;4
95357;1013793;8;5
95357;479745;8;2
95357;1086543;5;20
95357;783663;7;2
95358;1096818;6;2
95358;788975;6;3
95358;235653;8;7
95358;1041119;8;19
95358;229900;9;10
95358;231776;9;6
95358;1088126;8;9
95358;1037797;7;6
95358;520380;5;3
95358;1051518;6;7
95359;1042712;8;3
95359;826490;8;4
95359;1101035;8;34
95359;1096818;8;2
95359;1002767;5;34
