mes_ano;codigo_produto;preco_compra
2023-04;235653;5,95
2023-04;290478;1,7
2023-04;783663;1,7
2023-04;1051518;5,95
2023-04;723457;1,7
2023-04;1086543;16,15
2023-04;812829;3,4
2023-04;1042712;2,55
2023-04;1022450;2,55
2023-04;1096818;1,7
2023-04;326779;7,65
2023-04;1078680;0,85
2023-04;1002334;2,55
2023-04;1004327;1,7
2023-04;695594;11,9
2023-04;520380;2,55
2023-04;231776;4,25
2023-04;544931;4,25
2023-04;746596;2,55
2023-04;1013793;4,25
2023-04;773912;4,25
2023-04;1041119;16,15
2023-04;1088126;6,8
2023-04;479745;1,7
2023-04;1040107;3,4
2023-04;826490;3,4
2023-04;229900;7,65
2023-04;394479;1,7
2023-04;788975;1,7
2023-04;1002767;28,9
2023-04;1037797;4,25
2023-04;243083;3,4
2023-04;838819;5,95
2023-04;1101035;28,9
