mes_ano;codigo_produto;preco_compra
2021-02;695594;11,9
2021-02;235653;5,95
2021-02;1002767;28,9
2021-02;723457;1,7
2021-02;544931;4,25
2021-02;1004327;1,7
2021-02;1086543;16,15
2021-02;326779;7,65
2021-02;243083;3,4
2021-02;788975;1,7
2021-02;394479;1,7
2021-02;520380;2,55
2021-02;1042712;2,55
2021-02;1088126;6,8
2021-02;773912;4,25
2021-02;826490;3,4
2021-02;229900;7,65
2021-02;812829;3,4
2021-02;746596;2,55
2021-02;290478;1,7
2021-02;231776;4,25
2021-02;838819;5,95
2021-02;1002334;2,55
2021-02;1096818;1,7
2021-02;1013793;4,25
2021-02;1051518;5,95
2021-02;1101035;28,9
2021-02;1041119;16,15
2021-02;1040107;3,4
2021-02;479745;1,7
2021-02;1078680;0,85
2021-02;783663;1,7
2021-02;1022450;2,55
2021-02;1037797;4,25
