mes_ano;codigo_produto;preco_compra
2023-01;746596;2,55
2023-01;723457;1,7
2023-01;1022450;2,55
2023-01;1051518;5,95
2023-01;1037797;4,25
2023-01;826490;3,4
2023-01;1078680;0,85
2023-01;812829;3,4
2023-01;1088126;6,8
2023-01;773912;4,25
2023-01;229900;7,65
2023-01;520380;2,55
2023-01;235653;5,95
2023-01;1086543;16,15
2023-01;1002767;28,9
2023-01;1101035;28,9
2023-01;326779;7,65
2023-01;1004327;1,7
2023-01;783663;1,7
2023-01;1041119;16,15
2023-01;1042712;2,55
2023-01;1040107;3,4
2023-01;1013793;4,25
2023-01;1096818;1,7
2023-01;479745;1,7
2023-01;695594;11,9
2023-01;838819;5,95
2023-01;243083;3,4
2023-01;1002334;2,55
2023-01;290478;1,7
2023-01;544931;4,25
2023-01;394479;1,7
2023-01;788975;1,7
2023-01;231776;4,25
