mes_ano;codigo_produto;preco_compra
2023-03;783663;1,7
2023-03;520380;2,55
2023-03;1042712;2,55
2023-03;1022450;2,55
2023-03;1088126;6,8
2023-03;235653;5,95
2023-03;229900;7,65
2023-03;544931;4,25
2023-03;812829;3,4
2023-03;746596;2,55
2023-03;1041119;16,15
2023-03;723457;1,7
2023-03;231776;4,25
2023-03;826490;3,4
2023-03;1037797;4,25
2023-03;394479;1,7
2023-03;1002334;2,55
2023-03;1051518;5,95
2023-03;479745;1,7
2023-03;773912;4,25
2023-03;290478;1,7
2023-03;788975;1,7
2023-03;838819;5,95
2023-03;243083;3,4
2023-03;1040107;3,4
2023-03;1013793;4,25
2023-03;1096818;1,7
2023-03;1086543;16,15
2023-03;1002767;28,9
2023-03;326779;7,65
2023-03;1078680;0,85
2023-03;1101035;28,9
2023-03;695594;11,9
2023-03;1004327;1,7
