mes_ano;codigo_produto;preco_compra
2022-05;1002334;2,55
2022-05;1088126;6,8
2022-05;544931;4,25
2022-05;231776;4,25
2022-05;394479;1,7
2022-05;746596;2,55
2022-05;1041119;16,15
2022-05;723457;1,7
2022-05;229900;7,65
2022-05;1086543;16,15
2022-05;773912;4,25
2022-05;1040107;3,4
2022-05;479745;1,7
2022-05;826490;3,4
2022-05;1051518;5,95
2022-05;1037797;4,25
2022-05;1022450;2,55
2022-05;1096818;1,7
2022-05;1013793;4,25
2022-05;326779;7,65
2022-05;783663;1,7
2022-05;243083;3,4
2022-05;1078680;0,85
2022-05;788975;1,7
2022-05;235653;5,95
2022-05;812829;3,4
2022-05;1101035;28,9
2022-05;838819;5,95
2022-05;695594;11,9
2022-05;1002767;28,9
2022-05;290478;1,7
2022-05;1042712;2,55
2022-05;1004327;1,7
2022-05;520380;2,55
