numero;codigo_produto;quantidade;preco
66603;788975;6;2
66603;1004327;9;2
66603;229900;5;9
66603;746596;5;4
66603;1088126;6;9
66603;1002767;7;35
66603;326779;8;9
66603;723457;8;2
66603;1041119;8;19
66603;826490;6;4
66603;235653;7;7
66603;1078680;6;1
66604;788975;8;2
66604;1037797;6;5
66604;1101035;8;34
66604;838819;8;8
66604;1096818;8;2
66604;695594;6;15
66604;520380;7;3
66604;812829;5;5
66604;1013793;8;6
66604;229900;5;10
66604;1004327;5;3
66604;1051518;9;8
66604;1078680;5;1
66605;1051518;9;7
66605;326779;5;10
66605;723457;8;2
66605;783663;6;2
66605;1013793;6;6
66605;479745;8;2
66605;1041119;7;20
66605;544931;7;5
66605;1101035;8;34
66605;243083;6;5
66605;788975;6;2
66605;773912;6;5
66606;1041119;6;19
66606;1096818;5;2
66606;1004327;9;2
66606;773912;8;6
66606;1013793;5;5
66606;1042712;8;3
66606;1051518;6;7
66606;746596;8;4
66606;1037797;7;5
66606;723457;8;3
66606;520380;8;3
66606;783663;5;2
66606;1002767;6;34
66606;326779;6;9
66607;229900;8;9
66607;1013793;9;5
66607;1086543;7;19
66607;695594;7;15
66607;1088126;7;9
66607;1042712;6;3
66607;1040107;8;4
66607;520380;6;3
66607;1022450;7;3
66608;783663;7;2
66608;520380;7;3
66608;1004327;8;3
66608;746596;6;4
66608;1041119;5;20
66608;1088126;8;9
66608;1040107;6;4
66608;1037797;7;5
66608;544931;9;5
66608;1101035;7;34
66608;826490;6;4
66609;826490;7;4
66609;783663;9;2
66609;1022450;6;3
66609;1041119;5;19
66609;243083;6;4
66609;1013793;6;5
66609;788975;9;2
66609;695594;8;15
66609;773912;5;5
66609;1040107;7;4
66609;1096818;7;2
66609;1037797;9;6
66609;326779;5;10
66610;1041119;5;20
66610;1002334;7;3
66610;1013793;6;6
66610;394479;9;2
66610;1078680;6;1
66610;1042712;7;3
66610;544931;6;5
66610;1037797;5;6
66610;290478;7;3
66610;1096818;5;2
66610;326779;7;9
66610;773912;6;5
66610;1022450;8;3
66610;746596;6;3
66611;788975;7;2
66611;695594;8;15
66611;544931;8;5
66611;1013793;8;6
66611;479745;8;2
66611;1088126;7;9
66611;326779;9;10
66611;723457;7;3
66611;1096818;7;2
66611;231776;8;6
66611;1086543;8;19
66612;479745;8;2
66612;826490;7;4
66612;243083;6;4
66612;235653;6;7
66612;1022450;6;3
66612;788975;6;2
66612;326779;6;10
66612;783663;8;2
66612;520380;9;3
66612;290478;8;3
66612;1042712;8;3
66612;1051518;6;7
66612;812829;5;5
66613;479745;7;2
66613;1013793;8;6
66613;1078680;6;1
66613;695594;5;15
66613;243083;5;5
66613;826490;6;4
66613;235653;7;7
66613;1088126;8;9
66613;1096818;9;2
66613;1022450;7;3
66614;746596;7;3
66614;290478;9;3
66614;235653;6;7
66614;231776;8;6
66614;1040107;7;4
66614;695594;5;15
66614;773912;6;6
66614;826490;5;4
66614;1101035;5;35
66614;1042712;6;3
66615;1040107;7;4
66615;723457;5;2
66615;394479;7;2
66615;520380;6;3
66615;812829;7;5
66615;229900;5;9
66615;838819;6;8
66615;1004327;7;2
66615;695594;9;14
66615;1042712;9;3
66616;1086543;8;19
66616;326779;6;10
66616;1040107;8;4
66616;788975;5;2
66616;229900;8;9
66616;520380;8;3
66616;479745;8;2
66616;1013793;5;5
66616;235653;6;7
66616;1022450;5;3
66616;1096818;7;2
66616;1002334;6;3
66616;290478;7;3
66617;1037797;8;5
66617;746596;7;4
66617;520380;6;3
66617;1088126;8;8
66617;1096818;8;2
66617;812829;7;4
66617;773912;8;6
66617;1051518;8;7
66617;1022450;7;3
66617;235653;8;7
66617;290478;7;2
66617;1101035;6;34
66617;1041119;6;19
66618;544931;7;5
66618;1051518;8;8
66618;1004327;6;3
66618;746596;8;4
66618;1086543;7;20
66618;231776;7;6
66618;229900;8;10
66618;1041119;8;19
66618;1022450;8;3
66618;243083;6;5
