mes_ano;codigo_produto;preco_compra
2021-09;1096818;1,7
2021-09;1086543;16,15
2021-09;243083;3,4
2021-09;838819;5,95
2021-09;1078680;0,85
2021-09;1051518;5,95
2021-09;723457;1,7
2021-09;479745;1,7
2021-09;229900;7,65
2021-09;544931;4,25
2021-09;695594;11,9
2021-09;1040107;3,4
2021-09;826490;3,4
2021-09;1037797;4,25
2021-09;1002767;28,9
2021-09;1022450;2,55
2021-09;1002334;2,55
2021-09;394479;1,7
2021-09;1013793;4,25
2021-09;235653;5,95
2021-09;746596;2,55
2021-09;1004327;1,7
2021-09;290478;1,7
2021-09;812829;3,4
2021-09;1042712;2,55
2021-09;1101035;28,9
2021-09;1088126;6,8
2021-09;788975;1,7
2021-09;773912;4,25
2021-09;231776;4,25
2021-09;520380;2,55
2021-09;1041119;16,15
2021-09;326779;7,65
2021-09;783663;1,7
