mes_ano;codigo_produto;preco_compra
2022-11;1078680;0,85
2022-11;812829;3,4
2022-11;1086543;16,15
2022-11;746596;2,55
2022-11;1040107;3,4
2022-11;235653;5,95
2022-11;1041119;16,15
2022-11;1013793;4,25
2022-11;695594;11,9
2022-11;838819;5,95
2022-11;1037797;4,25
2022-11;1002767;28,9
2022-11;1088126;6,8
2022-11;290478;1,7
2022-11;1002334;2,55
2022-11;520380;2,55
2022-11;1096818;1,7
2022-11;1022450;2,55
2022-11;1042712;2,55
2022-11;773912;4,25
2022-11;243083;3,4
2022-11;326779;7,65
2022-11;1051518;5,95
2022-11;788975;1,7
2022-11;723457;1,7
2022-11;544931;4,25
2022-11;229900;7,65
2022-11;1101035;28,9
2022-11;479745;1,7
2022-11;783663;1,7
2022-11;1004327;1,7
2022-11;231776;4,25
2022-11;826490;3,4
2022-11;394479;1,7
